duration_us,draw_id,image_q,h_gain_lower_active,h_gain_upper_active,v_gain_lower_active,v_gain_upper_active,dark_h_floor_active,dark_h_upper_active,dark_v_floor_active,dark_v_upper_active,either_dark_floor_active,reported_active_nuisance_bounds,eta_supported,rho_y_supported,support_interpretation
100,18,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,18,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,19,1,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,2,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,3,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,4,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,5,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,6,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,7,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,8,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,9,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,10,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,11,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,12,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,13,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,14,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,19,15,false,false,false,false,false,false,false,false,false,0,true,true,physical_support_with_dark_floor_reported_separately
100,20,1,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,20,2,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,20,3,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,20,4,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,20,5,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,20,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,20,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
