duration_us,draw_id,image_q,delta_eta_q_given_1,delta_rho_y_q_given_1,truth_delta_eta_q_given_1,truth_delta_rho_y_q_given_1,eta_pair_supported,rho_y_pair_supported,eta_pair_reason,rho_y_pair_reason
25,10,5,0.009410330645692078,0.050485807069916344,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,10,6,-0.0043497436676160905,-0.013710541792995024,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,10,7,-0.0018504495753413064,0.04251952688735905,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,10,8,0.07749647258125436,0.057472130876595307,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,10,9,-0.004825877585660332,0.02711645851819111,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,10,10,-0.0009397864621609742,0.011740146894277825,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,10,11,-0.007104064043579217,0.06933495681083457,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,10,12,0.01456811531660418,0.005505791717294484,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,10,13,-0.043342766979684644,0.019261958724967165,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,10,14,-0.0016161597160324614,0.015815387095121203,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,10,15,-0.022556445262310487,0.0022701910065107134,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,11,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,11,2,-0.09416486768120469,-0.12129077886963002,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
25,11,3,-0.06730843902471562,-0.1518254633511641,-0.005727598353157504,-0.0011481631107591594,true,true,supported,supported
25,11,4,-0.06185929764757647,-0.17428781816182704,-0.008586642042826997,-0.0017232710691525988,true,true,supported,supported
25,11,5,-0.09796301088737669,-0.12442497138156094,-0.01144251922178463,-0.0022990596478537073,true,true,supported,supported
25,11,6,0.00946897701437166,-0.08055587674200981,-0.014295232358622956,-0.0028755300241831705,true,true,supported,supported
25,11,7,-0.08111388021024202,-0.13568779564638844,-0.017144780418153927,-0.00345272346108616,true,true,supported,supported
25,11,8,-0.15723757810053285,-0.15091833283245415,-0.019991169663249653,-0.004030593673255312,true,true,supported,supported
25,11,9,-0.047338624026866394,-0.07244715593368611,-0.022834405935228896,-0.004609178441481565,true,true,supported,supported
25,11,10,-0.15609698833546548,-0.13136634709610584,-0.025674479936079075,-0.005188451246219361,true,true,supported,supported
25,11,11,-0.06780363157896196,-0.1557997076163512,-0.0285113990229805,-0.005768449218922389,true,true,supported,supported
25,11,12,-0.07044745907473027,-0.16403678552586842,-0.03134516601585047,-0.006349160963455169,true,true,supported,supported
25,11,13,-0.13349520789895386,-0.17168034805343424,-0.03417601520363278,-0.006930613128595886,true,true,supported,supported
25,11,14,-0.08030800500769264,-0.14466133104947898,-0.037003634162659726,-0.007512768077172716,true,true,supported,supported
25,11,15,-0.053421420387971486,-0.09989925501117569,-0.03982806586113119,-0.008095634824816123,true,true,supported,supported
25,12,1,0.0,0.0,0.0,0.0,true,true,supported,supported
25,12,2,0.03748636438321096,0.03961365722241961,-0.0028653850287652105,-0.0005737431088805867,true,true,supported,supported
