method,state,duration_us,draw_id,d_peak_hat_um,nu_vp_hat,d_peak_truth_um,nu_vp_truth,d_peak_conditional_sd_um,nu_vp_conditional_sd,old_d_peak_supported,old_nu_vp_supported,selected_locally_eligible,minimum_distinct_alternative_delta_q,d_peak_competitive_alternative_count,nu_vp_competitive_alternative_count,d_peak_supported,nu_vp_supported,support_rule
dgi,connected_modulated,25,29,2.7291355379324997,0.6781747065470543,2.751540046488,0.6494770333465083,0.05114202673720705,0.05848893551823054,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,30,2.759938964905,0.624579118995984,2.751540046488,0.6494770333465083,0.04139531722478819,0.05226134873598544,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,31,2.6971183193305,0.8037544729911694,2.751540046488,0.6494770333465083,0.08133826804513829,0.04678038963032494,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,32,2.7431791849155003,0.6311956315190812,2.751540046488,0.6494770333465083,0.04135549875287369,0.05508236527533947,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,33,2.7472615343035,0.7243638889146158,2.751540046488,0.6494770333465083,0.05039532252354995,0.047998130103260046,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,34,2.7585882799185,0.5551415276882228,2.751540046488,0.6494770333465083,0.036390951354392215,0.0533573938145879,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,35,2.7828213294874997,0.6668609830337734,2.751540046488,0.6494770333465083,0.04429034810664716,0.05023329401455258,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,36,2.703117819388,0.526093904466054,2.751540046488,0.6494770333465083,0.03527091200994072,0.05167874571174163,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,37,2.6901002800865,0.6990289635564559,2.751540046488,0.6494770333465083,0.046437752699894176,0.05020744544307251,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,38,2.70042312617,0.6588749014964211,2.751540046488,0.6494770333465083,0.04493696106361906,0.05411968308390709,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,39,2.7281657576335,0.6260963273005282,2.751540046488,0.6494770333465083,0.04197184122054467,0.05466834025631095,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,40,2.7880363842265004,0.6595263964247648,2.751540046488,0.6494770333465083,0.04369601481819243,0.05003825937119855,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,41,2.733473649563,0.6888686841107208,2.751540046488,0.6494770333465083,0.04562745657125105,0.049077833312721995,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,42,2.7501431869445,0.6300057480977541,2.751540046488,0.6494770333465083,0.037418190049066734,0.05008699605860438,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,43,2.7492982750325003,0.7001121344805245,2.751540046488,0.6494770333465083,0.0500527748983227,0.05187123801637235,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,44,2.7509267259115,0.5549290551276,2.751540046488,0.6494770333465083,0.03868990155285009,0.05663862643780598,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,45,2.7870673536234998,0.6416673153259386,2.751540046488,0.6494770333465083,0.042570984587672174,0.05050727730470262,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,46,2.7585953809815,0.509969303829169,2.751540046488,0.6494770333465083,0.035740426518621624,0.05329072191339885,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
