method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,43,leakage_stop,2,0,20260818;5301;25;1;1;43;2;0
dgi,25,connected_modulated,43,stop_dark,3,0,20260818;5301;25;1;1;43;3;0
dgi,25,connected_modulated,43,open_reference,4,0,20260818;5301;25;1;1;43;4;0
dgi,25,connected_modulated,43,open_dark,5,0,20260818;5301;25;1;1;43;5;0
dgi,25,connected_modulated,44,atom_stop,1,1,20260818;5301;25;1;1;44;1;1
dgi,25,connected_modulated,44,leakage_stop,2,0,20260818;5301;25;1;1;44;2;0
dgi,25,connected_modulated,44,stop_dark,3,0,20260818;5301;25;1;1;44;3;0
dgi,25,connected_modulated,44,open_reference,4,0,20260818;5301;25;1;1;44;4;0
dgi,25,connected_modulated,44,open_dark,5,0,20260818;5301;25;1;1;44;5;0
dgi,25,connected_modulated,45,atom_stop,1,1,20260818;5301;25;1;1;45;1;1
dgi,25,connected_modulated,45,leakage_stop,2,0,20260818;5301;25;1;1;45;2;0
dgi,25,connected_modulated,45,stop_dark,3,0,20260818;5301;25;1;1;45;3;0
dgi,25,connected_modulated,45,open_reference,4,0,20260818;5301;25;1;1;45;4;0
dgi,25,connected_modulated,45,open_dark,5,0,20260818;5301;25;1;1;45;5;0
dgi,25,connected_modulated,46,atom_stop,1,1,20260818;5301;25;1;1;46;1;1
dgi,25,connected_modulated,46,leakage_stop,2,0,20260818;5301;25;1;1;46;2;0
dgi,25,connected_modulated,46,stop_dark,3,0,20260818;5301;25;1;1;46;3;0
dgi,25,connected_modulated,46,open_reference,4,0,20260818;5301;25;1;1;46;4;0
dgi,25,connected_modulated,46,open_dark,5,0,20260818;5301;25;1;1;46;5;0
dgi,25,connected_modulated,47,atom_stop,1,1,20260818;5301;25;1;1;47;1;1
dgi,25,connected_modulated,47,leakage_stop,2,0,20260818;5301;25;1;1;47;2;0
dgi,25,connected_modulated,47,stop_dark,3,0,20260818;5301;25;1;1;47;3;0
dgi,25,connected_modulated,47,open_reference,4,0,20260818;5301;25;1;1;47;4;0
dgi,25,connected_modulated,47,open_dark,5,0,20260818;5301;25;1;1;47;5;0
dgi,25,connected_modulated,48,atom_stop,1,1,20260818;5301;25;1;1;48;1;1
dgi,25,connected_modulated,48,leakage_stop,2,0,20260818;5301;25;1;1;48;2;0
dgi,25,connected_modulated,48,stop_dark,3,0,20260818;5301;25;1;1;48;3;0
dgi,25,connected_modulated,48,open_reference,4,0,20260818;5301;25;1;1;48;4;0
dgi,25,connected_modulated,48,open_dark,5,0,20260818;5301;25;1;1;48;5;0
dgi,25,connected_modulated,49,atom_stop,1,1,20260818;5301;25;1;1;49;1;1
dgi,25,connected_modulated,49,leakage_stop,2,0,20260818;5301;25;1;1;49;2;0
